# This file was generated with SimpNMR v1.6.0 at 10:40:04 16-03-2026 
# Hyperfines from file /Users/ernestborysenko/git/simpnmr/examples/DyL1/DATA/HFC/DyL1.xyz
Diamagnetic shifts from file /Users/ernestborysenko/git/simpnmr/examples/DyL1/DATA/DIA/YL1.csv
T = 302.15 K
atom_label (),chem_label (),x (Å),y (Å),z (Å),A_fc_iso (ppm Å^-3),A_sd_xx (ppm Å^-3),A_sd_xy (ppm Å^-3),A_sd_xz (ppm Å^-3),A_sd_yy (ppm Å^-3),A_sd_yz (ppm Å^-3),A_sd_zz (ppm Å^-3),δ_total_avg (ppm),δ_total (ppm),δ_dia (ppm),δ_pc (ppm),δ_fc (ppm),linewidth (ppm)
C17,,-4.988202,-1.724653,-0.243025,,,,,,,,,,,,,
C18,,0.969960,5.177460,-0.265821,,,,,,,,,,,,,
C19,,2.850395,-3.622260,-1.009710,,,,,,,,,,,,,
C20,,-4.564452,-0.626242,-0.988737,,,,,,,,,,,,,
C21,,1.717669,4.260169,-1.001965,,,,,,,,,,,,,
C22,,1.811887,-2.712726,-0.840680,,,,,,,,,,,,,
C23,,-3.252412,-0.193021,-0.829114,,,,,,,,,,,,,
C24,,1.446994,2.906539,-0.831210,,,,,,,,,,,,,
C25,,0.522848,-2.779727,-1.642952,,,,,,,,,,,,,
C26,,-2.662272,0.956730,-1.629424,,,,,,,,,,,,,
C27,,2.164454,1.821142,-1.618161,,,,,,,,,,,,,
H1,ceq,2.315280,-1.587822,3.415912,0.000000,-155.369347,-545.917804,1160.899893,-579.964103,-794.138841,735.333450,-35.071564,-35.506229,2.870000,-38.376229,0.000000,1.000000
H2,ceq,-2.527794,-1.216233,3.419855,0.000000,4.338630,453.209992,-1261.806879,-731.045277,-601.139863,726.706647,-35.071564,-35.056006,2.870000,-37.926006,0.000000,1.000000
H3,ceq,0.214285,2.800210,3.404525,0.000000,-944.443336,86.867743,103.497742,225.469168,1401.524018,718.974168,-35.071564,-34.652457,2.870000,-37.522457,0.000000,1.000000
H4,cax,1.063935,-0.556580,4.079350,0.000000,-873.119122,-106.550571,782.079657,-1023.470283,-405.352976,1896.589405,-94.856163,-95.310877,3.670000,-98.980877,0.000000,1.000000
H5,cax,-1.010280,-0.642445,4.080704,0.000000,-886.448069,118.096484,-749.634928,-1002.404349,-467.076840,1888.852417,-94.856163,-94.907092,3.670000,-98.577092,0.000000,1.000000
H6,cax,-0.055828,1.205465,4.078062,0.000000,-1073.379699,-13.902947,-46.033761,-804.808138,891.638371,1878.187838,-94.856163,-94.350520,3.670000,-98.020520,0.000000,1.000000
H7,ceqp,0.077557,-2.691814,3.604836,0.000000,-903.558927,-26.009387,34.383157,82.831845,-1304.867053,820.727081,-39.911708,-40.172827,2.660000,-42.832827,0.000000,1.000000
H8,ceqp,-2.371831,1.275332,3.604759,0.000000,-131.418961,-413.416610,-1141.983668,-674.118004,616.448170,805.536965,-39.911708,-39.380072,2.660000,-42.040072,0.000000,1.000000
H9,ceqp,2.284755,1.410156,3.606479,0.000000,-193.004755,442.609995,1106.983398,-627.902387,689.514851,820.907142,-39.911708,-40.182224,2.660000,-42.842224,0.000000,1.000000
H10,caxp,0.769145,-2.762295,1.972916,0.000000,-1667.412209,-1040.879669,723.895975,1804.389660,-2614.917139,-136.977451,9.752892,9.418700,2.270000,7.148700,0.000000,1.000000
H11,caxp,-2.778561,0.706362,1.973668,0.000000,1831.107078,-965.212393,-2586.004178,-1680.977027,663.864594,-150.130051,9.752892,10.105119,2.270000,7.835119,0.000000,1.000000
H12,caxp,2.007054,2.044642,1.973765,0.000000,18.745852,2012.379958,1877.667694,124.289561,1927.552411,-143.035413,9.752892,9.734858,2.270000,7.464858,0.000000,1.000000
H13,aeq,3.789806,-0.294535,2.336465,0.000000,1094.617983,-152.086995,1212.366503,-906.685388,-91.606533,-187.932595,14.123803,13.887992,4.080000,9.807992,0.000000,1.000000
H14,aax,3.253224,0.612921,0.896256,0.000000,3449.782961,1044.845769,1409.184330,-1806.818548,269.831330,-1642.964413,89.936000,89.894473,4.150000,85.744473,0.000000,1.000000
H15,aeq,-2.149835,-3.135409,2.329992,0.000000,-264.046949,947.749509,-688.707422,456.252117,-998.469479,-192.205168,14.123803,14.110972,4.080000,10.030972,0.000000,1.000000
H16,aax,-1.094164,-3.119474,0.891154,0.000000,-1384.775099,1790.495859,-479.613005,3040.294097,-1355.078664,-1655.518997,89.936000,90.549683,4.150000,86.399683,0.000000,1.000000
H17,aeq,-1.652810,3.423591,2.325010,0.000000,-528.868228,-792.011822,-523.147598,726.083505,1081.899066,-197.215277,14.123803,14.372444,4.080000,10.292444,0.000000,1.000000
H18,aax,-2.169392,2.495622,0.892255,0.000000,425.267208,-2776.439304,-925.037043,1207.529763,1064.485724,-1632.796972,89.936000,89.363845,4.150000,85.213845,0.000000,1.000000
H19,py3,4.998880,-2.172676,1.199166,0.000000,657.230089,-485.676599,256.145933,-252.627847,-111.036133,-404.602242,29.193598,29.205738,8.090000,21.115738,0.000000,1.000000
H20,py4,4.845914,-4.134774,-0.355802,0.000000,224.382493,-453.492505,-45.467523,79.203143,38.768420,-303.585635,24.012574,24.033794,8.190000,15.843794,0.000000,1.000000
H21,py5,2.738780,-4.443619,-1.716171,0.000000,-124.437394,-573.329624,-229.342631,453.116853,372.308129,-328.679459,25.015144,24.903413,7.750000,17.153413,0.000000,1.000000
H22,py3,-4.385361,-3.224578,1.204937,0.000000,402.096263,632.807083,-225.712356,1.142317,-165.261499,-403.238580,29.193598,29.134570,8.090000,21.044570,0.000000,1.000000
H23,py4,-6.011081,-2.092533,-0.334059,0.000000,511.198915,283.092431,53.245756,-208.320010,18.437467,-302.878905,24.012574,23.996911,8.190000,15.806911,0.000000,1.000000
H24,py5,-5.222768,-0.110891,-1.686717,0.000000,806.336385,25.033585,427.351044,-474.205587,8.351185,-332.130798,25.015144,25.083534,7.750000,17.333534,0.000000,1.000000
H25,py3,-0.633023,5.405610,1.179275,0.000000,-443.163233,-154.807030,-32.063122,848.431273,271.300118,-405.268040,29.193598,29.240485,8.090000,21.150485,0.000000,1.000000
H26,py4,1.155636,6.247781,-0.365238,0.000000,-277.212719,162.942442,-11.019655,580.285239,-60.015204,-303.072520,24.012574,24.007015,8.190000,15.817015,0.000000,1.000000
H27,py5,2.493193,4.572044,-1.700048,0.000000,-185.068416,540.009184,-207.236943,516.719252,-381.806138,-331.650836,25.015144,25.058486,7.750000,17.308486,0.000000,1.000000
